opini_dokumen,opini_label
Jadilah mahasiswa sebagai satu dalam perkuliahan ini,p
Whitebioard jarang dibersihkan parkiran tidak rapi bos,n
"Tambah tinta spidol ,papan tulis, lcd dan lengkapilah kebutuhan kami",n
Ruangan panas,n
"Kampus fasilitas kurang memadai, mohon dibenahi agar akreditasi naik ",n
Ac ruang b12 benerin,n
Disediakan fasilitas mesin atm bersama,p
"Bangku kurang nyaman, banyak yang perlu diganti",n
Ruangan panas banget ac kurang berfungsi,n
"Sangat baik dalam memberikan materi nidia lestari, s.t, m.eng",p
Ac tidak dingin,n
"Setiap tahun peminat geologi semakin bertambah dan biaya semakin mahal, kalau bisa dibuatkan kampus sediri",n
Ac ditambah wifi jaringan diperluas ,n
Pak/bu panas bu/ pak diruang b215 kuliah jadi gak nyaman,n
Harus menyediakan panduan,n
Ruangan panas,n
Proyektor jelek ac tidak dingin spidol ganti yang baru,n
Ruangan panas,n
Papn tulis kotor spidol banyak yang mati ac tidak kerasa lahan parkir kurang ditambah lagi lahanya,n
"Ac, parkiran, tong sampah, pohon, kampus butuh pohon",n
Wifi diupgrade lagi supaya mahasiswa bisa menambah wawasan di internet,p
Lebih konsisten lagi,n
"Kasih ac ni ruangan, kami bayar kuliah mahal kalo gak bisa ganti a turunin uang kuliah",n
Ruangan panas,n
Ruang kelas yang kurang memadai,n
Acny abosss,n
Ohp dan lcd sering eror ac dan kipas diperbaiki,n
Acnya kurang dingin,n
Diharap kedepanya memilih ac yang baik kampus harus dicat lagi agar terlihat menarik perlu membaut atm bersama,n
Ac ruang b215 kurang lauak wifi lemot (dipercepat),n
"Bisa untuk bertanya kepada mahasiswa ,saran banyak tanya untuk mahasiswa",n
Untuk bisa mengatur halaman parkir yang lebih rapi dan luas tersedia atm dikampus,p
Ac ruangan harus ditambah,n
Untuk lebih nyamannya lagi pendingin ruangan diperbaiki,p
"Ac kurang dingin, dikeramik",n
Ac kurang dingin dan adanya kantin atau kopinya yang lebih layak lagi,n
Ac supaya lebih dingin dan bersih supaya dikeramik,n
Kebersihan kelas harus diperhatikan lagi,n
Acnya panas bosss,n
Ruang b215 butuh ac,n
Semoga kedepanya bisa melengkapi semua buku panduan dalam ilmu geologi struktur,p
"Ruangan penunjang kurang mendukung seperti ac, kipas angin dan tidak ada layar proyektor",n
Spidol jangan pelit dari tinta baa kasian dosenya buat jelasin dipapan tulis,n
"Spidol dosen kadang tidak bisa, supaya dosen gampang menjelaskan",n
Spidol sering habis ac kurang baik ruangan tidak dingin,n
Kelayakan ac sering tidak on membuat kelas tidak nyaman,n
Pembayaran spp tidak sesuai dengan fasilitas yeng didapat di ist akprind ,n
"Untuk memberikan pembahsan tugas2 agar mahasiswa tahu cara yang benar bukan hanya hasil akhir nidia lestari, s.t, m.eng",n
"Kenyamanan ruangan yang perlu ditingkatkan, ac kurang berfungsi dengan maksimal",p
"Mungkin bisa dipertambah lagi tentang pembahsan materi agar mahasiswa lebih paham dan jelas2nya dalam memahami materi dan pengerjaaan tugas nidia lestari, s.t, m.eng",p
Tolong ac diperbaiki/beli baru soalnya dalam ruangan panas kipasnya juga jalan akreditasi b kalo kualitas kaya gini cuma kamarmandinya yang keren,n
Ac mohon diperbanyak biar gak apanas kali kelasnya,n
"Dosen sebaiknya bisa konsisten dan tepat waktu nidia lestari, s.t, m.eng",p
"Staf agar tau sopan santun dan etika ac samaratakan dengan ruang staf, bayar larang",n
"Koe kudu semangat nidia lestari, s.t, m.eng",p
"Ruang kelas panas, mohon ac diperbaiki dibenarkan mohon untuk setiap kelas diberi wifi",n
"Menggantikan proyektor dengan lcd, apabila digantikan dengan lcd yang besar dan pemakaiannya pun lama dan nyaman untuk dilihat dan juga pake keramik kampus ini",n
Tolong dibagian depan baa diberitahu soal menjaga kebersihan tolong sediakan tempat sampah yang banyak agar mahasiswa menjaga kebersihan kampusnya mohon ditindak lanjuti saran dari saya terimakasih,p
Cat kampus supaya terlihat bersih penambahan ac tempat sampah diperbanyak tempat diperluas,p
Tolong dijaga kebersihan lingkungan kampus,p
Penyediaan tempat parkir yang luas agar tidak kehujanan tempat buat santai,n
Tidak adanya modul ac ruangan tidak terlalu dingin,n
Meningkatkan akses internet,p
"Ruangan panas kepada bapak mohon adil dalam menyikapi mahasiswa (bambang kusmartono,s.t, m.t)",n
Area bebas rokok dan diperluas ac,p
"Rangkuman materi dari dosen sangat diperlukan (bambang kusmartono,s.t, m.t)",p
"Fasilitas penunjang untuk mahasiswa ditambah fasilitas ac, proyektor, wifi",p
Kebersihan lingkungan kampus perlu ditingkatkan,p
"Ac kurang dingin, kelas menjadi pengap",n
Ruangan harus ber ac semua,n
Ruangan ber ac mana,n
"Mohon ditingkatkan lagi kelayakan mushola kampus 2 kotabaru, gar mahasiswa lebih nyaman beribadah",p
Diharapkan untuk menyediakan atm agar lebih mempermudah mahasiswa,p
"Perlu diperhatikan fasilitas wifi, terutama kampus 3",p
Mohon perbaiki fasilitas kelas yang rusak,p
Ac diperbaiki koneksi internet diperbanyak dan dipercepat temapt diskusi ditambah,p
"Dimohon untuk hadir lebih tepat waktu dan dimohon untuk memberikan copy an untuk pemahaman mahasiswa (bambang kusmartono,s.t, m.t)",p
Kelas minta ac dan dicat,n
Ac kurang dingin,n
Ditambahi ac/ac diganti biyar mahasiswa tidak ....,n
Ac tolong diperbaiki lagi sebab mati terasa panas,n
... nya tolong di acc buk,n
Tidak ada ac harsunya dikasih biar ga panas dan biar lebih konsentrasi belajar meja belajar menggambar teknik sudah ada yang tidak layak dipakai dinding dicat ulang atau renovasi,n
Cat tembok diperbaiki,n
"Meningkatkan lagi bagaimana cara menjelaskan kepada mahasiswa (rahayu khasanah, s.t, m.eng)",n
"Ketegasannya tolong ditingkatkan jika ada mahasiswa yang ribut nidia lestari, s.t, m.eng terimakasih",p
"Dalam pemanfaatan teknologi sudah sangat baik agar di pertahankan dan ditingkatkan, langkah baiknya apabila menilai ujian baik ust, maupun tugas lebih terbuka lagi agar mahasiswa mengetahui kesalahan dan memprebaiki (rahayu khasanah, s.t, m.eng)",p
Ruangan - masih banyak sampah di meja ruangan ditambah ac lampu yang mati segera diperbaiki untuk penerangan,n
Lebih mengenal dan akrab kepada mahasiswanya,p
"Ruangan panas , butuh ac",n
Kampus 3 butuh ac,n
Fasilitas kelas yang lain seperti ac,n
Seharusnya kleas dilengkapi dengan ac,n
Seharusnya ruangan diberi ac,n
Fasilitas kelas yang kurang memadai,n
Fasilitas penunjang ditambah dan meja menggambar sudah mulai susah,n
Beberapa ruang kelas ac kurang dingin,n
Tambah ac,n
"Terimakasih pak h. drs. khairul muhajir, m.t. telah mengajarkan kami dengan baik",p
Kelas kalau bisa dipasang ac biar ga panas dan dosenya harap tepat waktu (rahayu khasanah),n
Fasilitas umum diperbaiki parkiran diperluas gedung diperbaharui,p
Ac diharapkan lebih banyak lagi,n
Gedung perlu ditambah dan direnovasi setiap ruangan butuh ac,n
Wajibkan kampus bebas rokok papan tulis diganti baru lampu kurang terang dinding harus dicat ulang,n
Kalau hujan banyak air terjun didepan baa,n
"Bersikap adil pada semua mahasiswa ,bedakan asli dan plagiat",n
"Minta tolong ruangan b216 ac diperbaiki agar kenyamanan belajar mahasiswa tidak terganggu akibat gerah, ruangan b216 ini sangatlah tidak nyaman dan tidak layak untuk dipergunakan belajar mengajar mahasiswa",n
Meja dan kursi perkuliahan kurang kondusif dan ibu dosen sering terlambat (dra.bernadetta eko putranti),n
Ac perlu ditambah lagi,n
Fasilitas kurang memadai,n
Ac kurang dingin/samasekali tidak dingin (panas) ganti ac (jangan diperbaiki),n
Menambah dan memperbaiki fasilitas pembelajaran,p
Kami ingin fasilitas yang sama seperti kampus 1,n
Kai ingin fasilitas sama dengan kkampus 1,n
Kami ingin fasilitas seperti kampus 1,n
Fasilitas kurang memadai,n
Fasilitas kurang,n
Ditingkatkan fasilitas seperti ac dan lcd serta kebersihanya,n
"Ac kurang dingin/kipas angin gak bisah, ruangan panas",n
Untuk kenyamanan kurang terutama pada ac,n
"Kasih nilai jangan susah ya bu nidia lestari, s.t, m.eng kelasnya panas pak buk",n
"Sama seperti biasa, lcd kurang baik dan ac tidak maksimal",n
Panas poll,n
Kami hanya butuh ac pak/bu kami hanya butuh jaringan agar kami bisa belajar pak/bu,n
"Utamakan fasilitas infrastruktur yang memadai, kami butuh ac",n
Ac kelas ngga dingin malah panas,n
Ac harap,n
Ac diruang kelas mohon diperbaiki jika jam pelajaran siang terasa panas terimakasih,n
Kami butuh ac,n
Ac mohon diperbaiki,n
Saran saya perlu ditingkatkan sarana dan prasarana di kampus untuk menunjang kami sebagai pembelajran,p
Mohon untuk ruangan b214 tolong ac dibenerin ruangan panas,n
Perbaiki lcd dikelas yang selalu berubah warna dan juga wifi karena kelas tidak ada sinyal yang baik untuk hp,n
Menginginkan ruangan yang lebih dingin dan tidak panas agar belajar lebih nyaman,n
Kampus 3 dipasang ac lcd diperbaiki dan diganti untuk proses belajar kampus 3 pasang wifi,n
Koe kudu semnagat sri,p
Ac kurang dingin/panas,n
Lengkapi fasilitas kampus dengan ac,p
Ac sangat kurang baik ruangan dibagian b212-b1216 sangat panas mohon dibaca betul2 saran saya,n
Lengkapi fasilitas kampus seperti ac dan cat ulang kampus,n
"Sarana fasilitas yang kurang, terutama gedung",n
Pembersihan white board lebih rutin lagi,p
Fasilitas ac dan lcd dibenahi,p
Mohon ac diberi danlcd dibenahi,p
"Suasana kampus yang baru, fasilitas yang bagus butuh ac kampus 3 kamarmandi kurang bersih",n
Kami butuh ac dan wifi,n
"Cat ulang tembok kampus ganti keramik yang rusak kamar mandi kurang bersih satpam tidak ramah bangku dikelas diperbaiki papan tulis diperbaiki lcd ganti kami butuh ac, jangan hanya kampus 1 saja",n
Sebainya sarana dan prasarana kampus diperbaharui dan untuk kampus 2 dan 3 ac diberi dikelas,p
Tempat parkir diberi kanopi agar tidak kepanasan dan kehujanan butuh wifi dikampus 3 ini kampus 3 diberi ac lcd ganti pohon diperbanyak kebersihan dijaga kursi dicat biar nyaman,p
"Merasa nyaman dengan ibu cyrilla indri parwati, st., m.t. is the best wkwkwkwk",p
I love you,p
"Kelas kotor, seharusnya walaupun bangunan tua tapi harus tetap bersih dan cat nya juga harus bersih",n
Bisa lebih baru lagi,p
Harus mengganti tempat duduk,n
Ac kurang dingin dan bangku kuliah,n
"Semoga selalu sabar untuk memberi semngat dan motivasi kepada seluruh mahasiswa cyrilla indri parwati, st., m.t.",p
"Semoga kedepan lebih mudah dimengerti pelajaraanya, semoga nilai bagus cyrilla indri parwati, st., m.t.",p
Jangan lupa tidur siang jangan lupa closed disiram,n
Ac kurang dingin b214,n
Tetap semnagat memberikan matakuliah tambah baik2 dan baik lagi tetap baik hati,p
"Cara mengajarnya bagus dan baik hati cyrilla indri parwati, st., m.t.",p
Jangan lupas solat 5 waktu dan sunah 1,p
"Ac banyak yang mati, pengecatan ruangan kembali",n
Ac kelas b214 ga terasa white board sekarang telah menjadi black board,n
"Lebih baik lagi dan berkompeten dalam memberi nilai pada mahasiswa (drs.syukri abdullah,m.hum.)",p
Jangan terlalu teoritis ,n
Fasilitas direnovasi agar mahasiswa merasa nyaman,p
"Jangan terlalu cepat membawakan materi pada saat jam kuliah cyrilla indri parwati, st., m.t.",n
"Untuk kedepannya saran saya dalam pemberian materi bisa diperjelas lagi cyrilla indri parwati, st., m.t.",p
"Pertahankan proses mengajar seperti ini cyrilla indri parwati, st., m.t.",p
"Sayang ibu dosen cyrilla indri parwati, st., m.t.",p
Kebersihan ruang kelas,p
"Ruangn b214 masih panas, mohon ditambah ac dan kursi mohon diganti perbaiki sarana dan prasarana belajar dikelas",n
Mohon ac diganti yang baru kurang layak serta prasarana penunjang diperlengkap,n
Ruangan diberi ac,n
Layar proyektor kecil perlu dilebarkan,n
Ac kurang banyak wifi harus gratis,n
Ac panas,n
Ac panas,n
Terlalu cepat menjelaskan materi kelas kurang panas,n
Buk tambah ac,n
"Untuk fasilitas seperti ac, bagku dll harus lebih diperhatikan",n
Kurangnya ac dan tolong wifinya diperlancar agar kita bisa mengakses dengan baik,n
Mohon perbaiki fasilitas ,p
Kekurangan ac diruangan,n
Perlu diperhatikan fasilitas wifi dan toilet khusus wanita dan laki agar tidak ada laki masuk toilet wanita,n
Tingkatkan fasilitas mushola kampus 2,p
Kamar mandi harap dibersihkan perbanyak wifi gratis tanpa password atm dikampus tempat paarkir sepeda selalu dipakai motor,p
Sediakan fasilitas atm parkiran sepeda parkiran motor ditambah dan atap,p
P-13 ganti,n
Ciptakan suasana kelas yang lebih nyaman agar tidak membosanakan,n
Ac tidak dingin,n
Tanam pohon,p
Ruangan kurang bersih koneksi internet tidak lancar tempat diskusi diperbanyak,n
No comment,n
Ok,p
The best,p
"Tidak ada kata selain semangat untuk terus membimbing agar semua bisa menjadi lebih baik untuk kelas a cyrilla indri parwati, st., m.t.",p
Wifi dihidupkan untuk mahasiswa,n
"Menurut saya ibu dalam mengajar supaya lebih diperjelas suaranya (dra.harmastuti, m.kom)",p
Kurang ac didalam ruangan masih terasa panas banget makasih,n
"Saat menjelaskan pokok permasalahan jangan sambil menghadap ke papan tulis (dra.harmastuti, m.kom)",n
"Buk cyrilla indri parwati, st., m.t. nilai kelas a minta tolong biar besar2 semua ya buk ",p
Perbaikan lcd karean terkadang eror sehingga menghambat jam belajar tambah ac karena ruangan panas di kampus 3 ,n
Mantap,p
Jangan pelit ngasih nilai untuk dosen lainnya,n
Seharusnya dosen lebih bisa menertibkan kelas jika ramai dan dalam menerangkan materi di depan sebaiknya jangan menutupi mahasiswa yang dibelakang karena tidak kelihatan dan suara yang tidak keras,p
Tembok kelas tolong dicat kembali,n
Lebih tegas dalam menjelaskan materi agar mahasiswa lebih paham yang dijelaskan ,p
Agar ditambahkan ac supaya tidak panas lcd sering mati agar diperbaiki tempat parkir mmotor diperluas toilet dibersihkan,n
Dosen seharusnya bersikap tegas dan dalam menjelaskan bahasan topik diperjelas dan tidak menutupi whiteboard saat menjelaskan agar kami jelas akan penyampaianya (harmastuti),p
Kalau bisa peralatan praktikum dilengkapi yang belum ada terimakasih,n
"Pemanfaatan ac, jangan seperti pajangan spidol dipersiapkan koneksi wifi dimaksimalkan",n
Sudah bagus,p
Tingkatkan,p
"Ac enggak dingin, komputer ga hidup, spidol kering",n
Sarana penunjang diperbaiki/ditambah spidol harap di isi setelah dipakai mengajar,p
"Untuk kedepannya semoga fasilitas kampus dapat digunakan seperti spidol selalu habis jika mau dipakai, kipas + ac yang kurang efektif dan semoga ada fasilitas atm dan wifinya diperbanyak",p
Seharusnya dosen bersikap tegas dan dalam menjelaskan pokok bahasan topik diperjelas dan saat menjelaskan materi sebaiknya dosen tidak menutupi agar lebih jelas penyampaianya,n
"Tulisan dipapan tulis jangan terlalu kecil, jelasinya dengan cara yang mudah dimengerti oleh mahasiswa (dra.harmastuti,m.kom)",n
"Lebih interaktif lagi dengan mahasiswa (dra.harmastuti,m.kom)",p
Acditambah diruangan seperti diluar ruangan dibuat nyaman aja,p
"Mohon diperbaiki alat2 yang masih kurang lcd, ac, wifi dan kelas tembok dan alatnya seperti spidol harus diganti",p
Kurangnya alat pendingin ruang sehingga proses belajar mengajar kurang,p
"Lebih mengajak mahasiswa untuk aktif dan semangat dalam menjelaskan materi dengan jelas dan mudah dipahami oleh mahasiswa (dra.harmastuti,m.kom)",p
"Acnya kurang dingin, lcd proyektor tidak berfungsi dengan baik, kipasnya kurang dingin",n
"Ahrus lebih memperhatikan mahassiswa dan harus lebih hidup lagi kelasnya (dra.harmastuti,m.kom)",n
"Ac sudah jadi acecoris kursi diganti, bukan kursi goyang lcd diperbaiki papan tulis sudah kayak black board masih banyak kekurangan dan satu lagi kampus harus diperlebar",n
"Spidol kurang, ohp lcd buram ac accecories kursi ada yang mulai patah",n
Acnya tolong dikondisikan spidol banyak yang tidak layak pakai white board kotor ruang kelas tidak rapi kampus bau asap,n
Spidolnya selalu habis sebaiknya diisi,n
"Menjelaskan materi dengan memperhatikan peserta didik nya agar penyampaian materi bisa dicerna degnan baik (dra.harmastuti,m.t)",p
Mohon diperhatikan kebersihan dan kenyamanan lingkungan kampus,p
"Atm harus disediakan mandiri, bni, bri ac ditambahkan banyak lagi, kipas angin dihilangkan\bocor",n
Penjelasan yang kurang dalam penyamopaian materi suara yang tidak begitu lantang terkadang tidak terdengar,n
Tanpa hitung2an dan contoh soal ,n
Yayasan kurang peka terhadap kebutuhan mahasiswa,n
"Kurang komunikatif dan interaktif dalam mengajar (dra.harmastuti,m.t)",n
"Semoga bu nurul dzakiya, s.si, m.sc dipertahankan karena dosen baik dan semoga kampus kita dicat diperbaharui, spidol baru, meja dan kursi baru",p
Fasilitas penunjang perkuliahan harus lebih diperhatikan,p
"Lcd sering eror, menghambat kuliah",n
Ruangan panas dan gerah,n
Lcd dan spidol perlu diprhatikan ac kurang seger kampus tidak hijau tempat parkir kelas bocor,p
Dalam penyampaian materi kurang maksimal dan efektif karena suara dosen kurang jelas,n
Perbaiki sarana kampus dan fasilitas,p
Fasilitas bebas rokok,p
Lebih diperbanyak ac dan prosedur lebih berkualitas demi kenyamanan ,p
Mungkin ruangan kelas dibuat lebih nyaman lagi karena terasa panas,p
Ohp pada ruangan di s202 sangat tidak layak untuk tempat istirahat didepan baa diberikan hotspot/wifi,p
"Mohon kedepannya bisa memperbaharui ac, white board, penghapus, spidol mohon dicat ulang kampus ini",p
Acnya semua ruang kelas kurang dingin mohon dikasih mesin atm di kampus,n
Semoga kedepannya bisa perbaiki semua peralatan untuk perkuliahan tentang fasilitas,p
Ac bagian ruang s2 tidak berfungsi dengan baik (kurang dingin) ganti proyektor dan lcd karena gambar yang ditampilkan tidak bagus spidol diruang kuliah kebanyakan sudah mati tabahkan ruang praktikum jurusan tek geologi,n
Sediakan ohp dan perbaiki lcd yang rusak,n
"Materi perkuliahan membingungkan (ir.hary wibowo,m.t))",n
Fasilitas mulai dari kelayakan ohp/lcd/fasilitas kelas atau fasilitas kampus harus ditingkatkan lagi dengan baik dari mulai wifi dan proyektor saat melihat nilai,p
Ntukl dosen kalau datang diusahakan jangan terlambat,p
Fasilitas ohp/lcd/fasilitas kelas diperbaharui lagi,p
Kursinya kotor banyak debu sudah tidak layak pake sudah ada ac kok panas ya itu ac atau acsesoris wifi tidak bermutu sinyal parah loading lama ini kampus atau kos2an tiap apagi datang ada yang bawa handuk celana pendek mandi dikamar mandi bukannya sudah ada larangan tidur dikampus kok masi tetap ada,n
"Ac pajangan tidak layak tidak fungsi perlu pengeras suara spidol mati terus, gak ada isinya ruangan seperti aquarium perlu korden lcd jelek]kursi banyak yang rusak papan tulis bersih web jurusan tidak update",n
"Jangan lagi ada jam kuliah yang kosong karena kami malas mengulang, apalagi mengulangnya di hari libur (ir.hary wibowo,m.t)",n
"Materi terlalu sulit dipahami (ir.hary wibowo,m.t)",n
Tolong untuk adanya penambahan dosen baru digeologi (kualitas bukan kualitas) rambu untuk adanya bencana dan gempa ataupun kebakaran dii gedung2 kampus,n
"Jangan terlambat (ir.hary wibowo,m.t)",n
Perlunya sound/speaker dan mikropon untuk dosen mengajar agar terdengar sampai belakang\pelunya cat ulang pada dinding kelas agar terciptanya suasana belajar yang nyaman peraturan larangan merokok di area kampus,p
"Ketersediaan koneksi internet yang memadai dan gratis lahan parkir diperluas pengecekan kelayakan lcd, spidol, papan tulis dan penghapus masih kurang pengadaan micriphone sebagai sarana mengajar dikelas",p
Layanan wifi tolong diperlancar agar kami bisa memanfaatkan karena kita membayar,p
Mungkin bisa dibuat taman dihalaman,p
"Ac jangan sebagai aksesoros, lcd dan kabelnya diperbaharui, fasilitas spidol, penghapus disediakan dan dikasih yang ada isinya",n
"Pak tolong kalau ada mahasiswa bertanya jangan dibuat bingung (ir.hary wibowo,m.t)",n
"Sediakan wilayah bebas rokok, bis kampus kok susah bayar kalo pinjem",p
"Tolong untuk setiap ruang kelas diberikan remot acnya karena dalam ruangan panas, ac jangan dijadikan sebagai pajangan, lcd yang warnanya sudah jelek tolong diperbaiki/diganti karna warnanya tidak sesuai dengan yang ada di laptop",p
Tidak ada wifi,n
Untuk fasilitas ac diruang s202 sampai s207 hanya buat pajangan saja apa ac kok ada rasa dingin disini kami mahasiswa untuk belajar bukan ....,n
Memberikan nilai yang baik untuk mahasiswa,p
"Mohon wifi untuk mahasiswa diperluas jangkauannya keadaan ac bukan untuk dipajang saja, layanan untuk praktikum peralatan yang kurang serta sarana dan prasarana laboratorium yang lain",p
"Mohn tepat waktu kalau masuk (ir.hary wibowo,m.t)",p
"Jumlah mahasiswa siskom harus lebih banyak kedepanya, biar semangat dikelas",p
"Kalau menerangkan terlalu mengungkit hal yang kemarin padahal belum tentu kami paham, usahakan lebih jelas lagi (ir.hary wibowo,m.t)",n
Ac tidak dingin,n
Kursi ruang kelas diganti yang baru sudah banyak yang rusak kursi depan kelas untuk menunggu jadwal kuliah ditambah wifi masih kurang bagus spidol setiap kelas selalu diisi dong masa tinta habis terus,n
"Kebersihan ditingkatkan, jaringan wifi harus ada disetiap ruangan kelas",p
Fasilitas internet/wifi kampus dipermudah karena sulit untuk menggunakan layanan wifi dikampus perindah kampus dengan pepohonan setiap ukm/hmj dipantau lagi dikampus,p
Lcdnya beli yang asli jangan yang kw sering rusak,n
"Fasilitas wifi kampus harus dioptimalkan lagi bangunan kampus baiknya dicat ulang, agar terlihat indah dan warna bangunan kampus menawan",p
Mohon diganti ac dan papn tulis dan proyektor .... mahasiswa belajar tidak nyaman dan fasilitas internet kalo bisa dilogin luar kampus,p
Mohon ac/pendingin ruangan ditingkatkan soalnya didalam ruangan panas fasilitas inetrnet juga kurang bagus,n
Penambahan/perbaikan pendingin ruangan,p
Hemat kipas dan ac,n
"Kelayakan ac kurang dingin perlu adanya pengeras suara didalam kelas, perlu dicat ulang",n
Amdal pertambangan baik,n
Fasilitas penunjang perkuliahan harus ditingkatkan,p
Kelayakan lcd dan ohp diperhatikan dan juga jaringan internet (wifi kampus),p
Sediakan mikrophone untuk kelas2 ac jangan cuma sebagai pajangan harus sesuai fungsi pendingin kaca ruangan s202-s207 harus diberi gorden atau penutup untuk konsentrasi belajar,p
Tolong rubah lcd memakai tv lcd,p
Untuk kedepan lagi lebih baik lagi,p
"Kenyamanan ruang kelas atau fasilitas, papan tulis kotor, spidol diperhatikan, ac kurang belum berasa",n
Referensi buku ditambah,p
Spidol kelas tetap diisi agar tidak menyusahkan dosen pelajaran terlambat akibat spidol kelas tersendat,p
Ac kurang berfungsi (kelas panas) spidol tidak bisa dipakai kursi banyak yang goyang,p
Ac kurang dingin,n
Tingkatkan fasilitas kampus seperti ac dan wifi kampus,p
Ditingkatkan semester depan,p
Ac kurang dingin,n
"Proses mengajar baik kedepannya harus diperbaiki karena ada kekurangan dengan suaranya prof. ir. sukandarrumidi, m.sc., ph.d.",p
Pendingin ruangan supaya ditambah/diservice demi kelancaran belajar mengajar,p
Microfon untuk dosen yang sudah lanjut umur agar suaranya dapat terdengar jelas saat memberikan matakuliah,p
Tingkatkan lagi quality dan quantity sarana penunjang kuliah maupun praktikum,p
Bagi yang perokok disediakan tempat kalaupun tidak diberi kebijakan jangan merokok dilingkungan kampus,p
Ac kurang dingin,n
Sediakan ruangan khusus perokok perhatikan kebersihan white board,p
"Speaker suara dari luar terlalu keras, sehingga tidak terdengar dosen berbicara white board kotor acnya tidak berfungsi dengan semestinya suhu ruangan bukan dingin malah panas",n
"Dosenya dra. noeryanti, m.si. enak cara mengajarnya menyenangkan mudah dipahami tetapi ruangan masih perlu diperbaiki atapnya bolong dan juga panas",p
Alangkah baik kalau kampus kita ini dicat ulang biar lebih enak dilihat soalnya halaman kampus sekarang sudah lauk dimakan usia,p
"Lebih ditingkatkan agar mahasiswa mudah memahami karena ini materi yang sulit dra. noeryanti, m.si.",p
Harap ketertiban didalam kelas diperbaiki kenyamanan dan kebersihan kelas jug adiperbaiki,p
"Dimohon agar dosen dra. noeryanti, m.si. lebih baik lagi memberikan bilai, memaklumi tulisan mahasiswanya lebih mengajar ke seluruh mahasiswa maslah nilai sangat menentukan kenyamanan mahasiswa",p
Dicat kelas,n
"Bagus, tapi tingkatkan kondusifitas dalam ruangan semangat ibu dra. noeryanti, m.si.",p
Layar lcdnya kotor harus dibersihkan,n
Keselurusan pembelajaran sudah baik,p
Ac tolong diperbaiki,n
Papan tulisnya terlalu kotor dan harus dibersihkan penerangan kampus kurang ditambah fasilitas duduk,n
Papan tulis dibersihkan dan spidol diisi,p
Disarankan untuk mahasiswa yang perokok diberi ruangan khusus,p
Lcd mohon diperbaiki,p
Cat tembok biar nyaman,p
Lebih diperhatikan kebersihan ruangan,p
Sediakan ruangan bebas rokok perhatikan kebersihan white board,p
Ac kurang dingin,n
Ac diperbanyak karena mahasiswa banyak---panas,p
Papan whiteboardnya diganti atau dibersihkan dan spidolnya harap diperhatikan,p
Mohon dari kuisioner ini ditindak lanjuti jangan hanya sebagai formalitas data,n
Bebaskan kampus dari asap rokok ac kurang dingin spidol harus diganti renovasi gedung,n
Tolong diperbanyak pendingin ruangannya dan diperbagus wifinya,n
"Mohon untuk bisa lebih seesuai lagi, lebih adanya kesesuaian antara tugas yang diberikan (ketentuan tugas) dengan hasil dari tugas yang diselesaikan mahasiswa, misal ketentuan untuk tidak di print tugasnya, maka harusnya nilai mahasiswa itu baik sesuai dengan ketentuan dan bukan sebaliknya yang diprint tugasnya malah baik. mohon dipikirkan lagi maslah tersebut(ir.joko susetyo,m.t)",p
Sangat bijak,p
Saran saya dosen harus tepat waktu dalam memberikan mata kuliah,p
"Ac diganti diperbaiki karena sebagian sudah rusak, papan tulis juga penghapus dll",p
Tambahkan sound system tiap ruang kelas,p
Lebih diperhatikan fasilitasnya,p
Semoga sukse selalu,p
"Sarana kurang memadai, kelas panas dan tidak ada ac, kasih ac",p
Lekas diademkan ruang kelasnya,p
Ac man,n
"Semoga akprind direnovasi lagi setidaknya dicat kembali agar tidak kelihatan kumuh/tua sarana penunjang, ac, harus dicek karena sebagian sudah rusak",p
"Terus banyak bertanya sama mahasiswa lain jangan bertanya sama yang sudah2 ir. soetoto, su.",p
"Ac ditambah, wifi diperbaharui",p
Peralatan pendukung praktikum agar dilengkapi lagi,p
"Wifi, ac pada kampus ii pembaharuan kursi dan warna kampus cat ulang",p
Diberikan disediakan zona merokok dan melarang rokok dalam kampus disediakan wifi,p
Ac tambah pknya ohp kurang jelas,n
"Kalau menjelaskakan materi tolong yang jelas dan mudah difahami (ir.joko susetyo,m.t) ac dan wifi tolong",n
Semangat,p
Ac dong jaga kebersihan kampus,n
Wifi kampus untuk mahasiswa tolong disediakan lcd terbarui,p
"Tolong berikan nilai sesuai kemampuan mahasiswa (ir.joko susetyo, m.t)",p
"Kurang objektif (ir.joko susetyo, m.t) ruangan panas tidak berac",n
Ruangan terasa panas sehingga membuat ngantuk referensi perlu ditambah dalam bahasa yang mudah dimengerti bahasa indonesia,n
"Jangan terlalu sering keluar dari pembahasan materi (ir.joko susetyo, m.t)",n
Penambahan fasilitas pembelajaran dan pergantian fasilitas pembelajaran telah rusak dan penambahan kualitas internet,p
Tambahan fasilitas ac kursi ruangan,p
Fasilitas ac diperbaiki tinta spidol dosen,p
Saran rangan kelas diberi ac,p
"Fasilitas (spidol, ac harus lebih baik lagi)",p
"Dosen agar membantu mahasiswa dalam penilaian, mohon beri nilai yang sesuai (ir.joko susetyo, m.t) untuk ruangan mohon diberi ac agar suasana ruangan dingin dan nyaman",p
Ac dibenahi projektor dibenahi spidol ditambah student longue diberi kipas angin,n
Fasilitas kelas ditingkatkan demi kenyamanan dalam kelas,p
Panas ruangan,n
Diperbaiki pelayanan perpustakaan,p
"Ac, proyektor, spidol, white board tolong lebih baik lagi",p
